[     500ms] Identifier 'remainingFormatted' has already been declared
[     824ms] [WARNING] OTS parsing error: FFTM: invalid table offset @ https://aromawax.eu/pt/cart:0
[     824ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.ttf?v=168653738910245139531771850553 @ https://aromawax.eu/pt/cart:0
[     824ms] [WARNING] OTS parsing error: FFTM: invalid table offset @ https://aromawax.eu/pt/cart:0
[     824ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.ttf?v=168653738910245139531771850553 @ https://aromawax.eu/pt/cart:0
[     824ms] [WARNING] OTS parsing error: FFTM: invalid table offset @ https://aromawax.eu/pt/cart:0
[    1078ms] [ERROR] Framing 'https://shop.app/' violates the following Content Security Policy directive: "frame-ancestors 'self' https://shop.app https://admin.shopify.com". The request has been blocked.
 @ :0
[    1101ms] [LOG] %cFirst sampleProductsOfferingssss: font-size: 1.5em; 1 @ https://aromawax.eu/pt/cart:3293
[    1101ms] [LOG] %cMinimum sample amount... font-size: 1.5em; 50 @ https://aromawax.eu/pt/cart:3294
[    1101ms] [LOG] %cAmount needed to unlock next sample... font-size: 1.5em; 46.45 @ https://aromawax.eu/pt/cart:3295
[    1104ms] [LOG] %cPrice range after conversion %c font-size: 2em; font-size: 2em;; color: #8d4ad2 [Object, Object, Object, Object, Object, Object, Object, Object, Object, Object] @ https://aromawax.eu/pt/cart:3362
[    1077ms] [ERROR] Failed to load resource: the server responded with a status of 403 () @ chrome-error://chromewebdata/:0
[    1249ms] [LOG] %cFirst sampleProductsOfferingssss: font-size: 1.5em; 1 @ https://aromawax.eu/pt/cart:3293
[    1249ms] [LOG] %cMinimum sample amount... font-size: 1.5em; 50 @ https://aromawax.eu/pt/cart:3294
[    1249ms] [LOG] %cAmount needed to unlock next sample... font-size: 1.5em; 46.45 @ https://aromawax.eu/pt/cart:3295
[    1253ms] [LOG] %cPrice range after conversion %c font-size: 2em; font-size: 2em;; color: #8d4ad2 [Object, Object, Object, Object, Object, Object, Object, Object, Object, Object] @ https://aromawax.eu/pt/cart:3362
[    1391ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff2?v=151369584661543143081771850553 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] OTS parsing error: Size of decompressed WOFF 2.0 is less than compressed size @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
